type,pattern,compromised,recall,symmetryH,symmetryV,length,start,end,stroke,direction,image
g,6.10.9.5.1.2.3.7.11.15.14.13.12.8.4.0,0,0,1.0,1.0,16,6,0,11.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/0guess8.bmp
g,9.5.6.10.14.13.12.8.4.0.1.2.3.7.11.15,0,0,1.0,1.0,16,9,15,11.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/0guess9.bmp
g,5.9.10.6,0,0,1.0,1.0,4,5,6,2.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/14guess10.bmp
g,0.1.5.6.2.3.7.11.15.14.13.12,0,0,1.0,1.0,12,0,12,8.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/20guess9.bmp
g,5.6.10.9,0,0,1.0,1.0,4,5,9,2.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/4guess1.bmp
g,12.8.4.0.1.2.3.7.11.15.14.13,0,0,1.0,1.0,12,12,13,8.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/7guess9.bmp
g,3.2.1.0.4.8.12.13.14.15.11.7,0,0,1.0,1.0,12,3,7,8.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/7guess8.bmp
g,3.2.1.0.4.8.12.13.14.15,0,0,1.0,1.0,10,3,15,6.75,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/4guess4.bmp
g,3.2.1.0.4.8.9.10.11.15.14.13.12,0,0,1.0,1.0,13,3,12,9.0,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/4guess5.bmp
g,0.1.2.6.5.4.8.9.10.11.7.3,0,0,1.0,1.0,12,0,3,8.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/4guess6.bmp
g,2.6.10.14.13.12.8.4.5.9,0,0,1.0,1.0,10,2,9,6.75,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/4guess7.bmp
g,0.1.2.3.7.6.5.9.10.11.15.14.13.12,0,0,1.0,1.0,14,0,12,9.75,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/4guess8.bmp
g,6.3.2.1.5.9.13.14.15,0,0,1.0,0.75,9,6,15,6.310660171779821,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/4guess9.bmp
g,0.4.8.12.13.14.15.11.7.3.2.1,0,0,1.0,1.0,12,0,1,8.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/7guess1.bmp
g,3.7.11.15.10.5.0.4.8.12,0,0,1.0,1.0,10,3,12,7.681980515339463,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/20guess2.bmp
g,12.9.6.3.2.1.0.5.10.15,0,0,0.6666666666666666,1.0,10,12,15,8.613961030678928,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/7guess7.bmp
g,0.5.10.15.11.7.3.6.9.12,0,0,1.0,1.0,10,0,12,8.613961030678928,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/7guess6.bmp
g,15.10.5.0.1.2.3.6.9.12,0,0,0.6666666666666666,1.0,10,15,12,8.613961030678928,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/20guess7.bmp
g,15.11.7.3.2.1.0.4.8.12.13.14,0,0,1.0,1.0,12,15,14,8.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/7guess4.bmp
g,0.4.8.9.10.14.15.11.7.3.2.1.5,0,0,1.0,1.0,13,0,5,9.0,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/20guess10.bmp
g,12.8.4.0.1.5.9.10.6.2.3.7.11.15,0,0,1.0,1.0,14,12,15,9.75,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/0guess5.bmp
g,0.1.2.3.6.9.12.8.4,0,0,0.5,0.5,9,0,4,6.931980515339463,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/6guess10.bmp
g,12.8.4.0.1.5.9.13.14.10.6.2.3.7.11.15,0,0,1.0,1.0,16,12,15,11.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/14guess8.bmp
g,0.5.10.15.11.7.3.6.9.12,0,0,1.0,1.0,10,0,12,8.613961030678928,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/14guess9.bmp
g,12.8.9.10.6,0,0,1.0,0.5,5,12,6,3.0,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/14guess4.bmp
g,12.9.6.3.2.1.0.5.10.15,0,0,0.6666666666666666,1.0,10,12,15,8.613961030678928,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/14guess5.bmp
g,0.4.8.12.13.14.15.11.7.3,0,0,1.0,1.0,10,0,3,6.75,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/14guess6.bmp
g,0.1.2.3.7.6.5.4.8.9.10.11.15.14.13.12,0,0,1.0,1.0,16,0,12,11.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/14guess7.bmp
g,12.8.4.0.5.2.6.10.14,0,0,1.0,1.0,9,12,14,6.621320343559642,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/14guess1.bmp
g,0.1.2.3.6.9.12.13.14.15,0,0,1.0,1.0,10,0,15,7.681980515339463,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/14guess2.bmp
g,12.8.4.0.5.10.15.11.7.3,0,0,1.0,1.0,10,12,3,7.681980515339463,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/14guess3.bmp
g,0.5.9.14.10.6.2.3,0,0,0.6,1.0,8,0,3,5.871320343559642,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/1guess9.bmp
g,0.1.2.3.6.9.12.13.14.15,0,0,1.0,1.0,10,0,15,7.681980515339463,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/1guess8.bmp
g,0.2.9.5.1,0,0,0.3333333333333333,1.0,5,0,1,4.677050983124842,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/1guess1.bmp
g,0.5.10.14.6.2.1,0,0,1.0,1.0,7,0,1,5.871320343559642,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/1guess3.bmp
g,0.1.2.6.10.9.8.4,0,0,1.0,1.0,8,0,4,5.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/1guess2.bmp
g,0.1.2.3.6.9.10.11.7,0,0,0.75,1.0,9,0,7,6.621320343559642,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/1guess5.bmp
